index,title,type,year,rating,imdb_score,rotten_score,decade,imdb_bucket,genres_Action_Adventure,genres_Animation,genres_Biography,genres_Children,genres_Comedy,genres_Crime,genres_Cult,genres_Documentary,genres_Drama,genres_Family,genres_Fantasy,genres_Food,genres_Game Show,genres_History,genres_Horror,genres_Independent,genres_LGBTQ,genres_Musical,genres_Mystery,genres_Reality,genres_Romance,genres_Science_Fiction,genres_Sport,genres_Stand_up_Talk,genres_Thriller,genres_Travel,platforms_acorntv,platforms_amazon_prime,platforms_cinemax,platforms_epix,platforms_fandor,platforms_free,platforms_fubo_tv,platforms_hbo,platforms_hbo_max,platforms_hoopla,platforms_hulu_plus,platforms_kanopy,platforms_netflix,platforms_shoutfactorytv,platforms_sundancenow,platforms_syfy_tveverywhere,platforms_tlc_go,platforms_viceland_tve
0,Game of Thrones,TV,2011,R/TV-MA,9.3,89.0,2010-2019,9.01-9.50,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,Fight Club,,1999,R/TV-MA,8.8,79.0,1990-1999,8.51-9.00,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2,Alien,,1979,R/TV-MA,8.4,94.0,1970-1979,8.01-8.50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3,Chernobyl,TV,2019,R/TV-MA,9.4,96.0,2010-2019,9.01-9.50,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
4,Die Hard,,1988,R/TV-MA,8.2,93.0,1980-1989,8.01-8.50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5,Joker,,2019,R/TV-MA,8.5,68.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6,Aliens,,1986,R/TV-MA,8.3,97.0,1980-1989,8.01-8.50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
7,Apocalypse Now,,1979,R/TV-MA,8.4,98.0,1970-1979,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8,The Wire,TV,2002,R/TV-MA,9.3,94.0,2000-2009,9.01-9.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9,Ford v Ferrari,,2019,PG-13/TV-14,8.1,92.0,2010-2019,8.01-8.50,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10,Amélie,,2001,R/TV-MA,8.3,88.0,2000-2009,8.01-8.50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
11,Band of Brothers,TV,2001,R/TV-MA,9.4,94.0,2000-2009,9.01-9.50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12,Jaws,,1975,PG/TV-PG,8.0,98.0,1970-1979,7.51-8.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
13,Casino Royale,,2006,PG-13/TV-14,8.0,95.0,2000-2009,7.51-8.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14,Casino Royale,,2006,PG-13/TV-14,8.0,95.0,2000-2009,7.51-8.00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
15,Casino Royale,,1967,,5.2,26.0,1960-1969,5.01-6.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
16,Casino Royale,,1967,,5.2,26.0,1960-1969,5.01-6.00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
17,The Sopranos,TV,1999,R/TV-MA,9.2,92.0,1990-1999,9.01-9.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
18,Westworld,TV,2016,R/TV-MA,8.7,83.0,2010-2019,8.51-9.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
19,Requiem for a Dream,,2000,R/TV-MA,8.3,79.0,2000-2009,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20,Slumdog Millionaire,,2008,R/TV-MA,8.0,91.0,2000-2009,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
21,La La Land,,2016,PG-13/TV-14,8.0,91.0,2010-2019,7.51-8.00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
22,True Detective,TV,2014,R/TV-MA,9.0,78.0,2010-2019,8.51-9.00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
23,Prisoners,,2013,R/TV-MA,8.1,81.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
24,Rush,,2013,R/TV-MA,8.1,88.0,2010-2019,8.01-8.50,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
25,X-Men: First Class,,2011,PG-13/TV-14,7.7,86.0,2010-2019,7.51-8.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
26,Cinema Paradiso,,1988,PG/TV-PG,8.5,89.0,1980-1989,8.01-8.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
27,Cast Away,,2000,PG-13/TV-14,7.8,88.0,2000-2009,7.51-8.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28,BlacKkKlansman,,2018,R/TV-MA,7.5,96.0,2010-2019,7.01-7.50,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
29,Shutter Island,,2010,R/TV-MA,8.1,68.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,John Wick: Chapter 3 - Parabellum,,2019,R/TV-MA,7.5,90.0,2010-2019,7.01-7.50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
31,In Bruges,,2008,R/TV-MA,7.9,84.0,2000-2009,7.51-8.00,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
32,A Star Is Born,,2018,R/TV-MA,7.7,90.0,2010-2019,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
33,Bohemian Rhapsody,,2018,PG-13/TV-14,8.0,60.0,2010-2019,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
34,Last Week Tonight with John Oliver,TV,2014,R/TV-MA,8.9,98.0,2010-2019,8.51-9.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
35,The Fighter,,2010,R/TV-MA,7.8,91.0,2010-2019,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
36,X-Men,,2000,PG-13/TV-14,7.4,81.0,2000-2009,7.01-7.50,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
37,The Nice Guys,,2016,R/TV-MA,7.4,92.0,2010-2019,7.01-7.50,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
38,Silicon Valley,TV,2014,R/TV-MA,8.5,94.0,2010-2019,8.01-8.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
39,Shazam!,,2019,PG-13/TV-14,7.1,90.0,2010-2019,7.01-7.50,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
40,Big Little Lies,TV,2017,R/TV-MA,8.5,89.0,2010-2019,8.01-8.50,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41,Rome,TV,2005,R/TV-MA,8.7,86.0,2000-2009,8.51-9.00,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
42,Rome,TV,2005,R/TV-MA,8.7,86.0,2000-2009,8.51-9.00,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
43,Rome,TV,2012,,5.6,,2010-2019,5.01-6.00,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,Rome,TV,2012,,5.6,,2010-2019,5.01-6.00,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,Crash,,2004,R/TV-MA,7.8,74.0,2000-2009,7.51-8.00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
46,Boardwalk Empire,TV,2010,R/TV-MA,8.5,92.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
47,Curb Your Enthusiasm,TV,2000,R/TV-MA,8.7,92.0,2000-2009,8.51-9.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
48,They Shall Not Grow Old,,2018,R/TV-MA,8.3,99.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
49,The Others,,2001,PG-13/TV-14,7.6,83.0,2000-2009,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
50,"Crazy, Stupid, Love.",,2011,PG-13/TV-14,7.4,79.0,2010-2019,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
51,Home Alone,,1990,PG/TV-PG,7.6,65.0,1990-1999,7.51-8.00,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
52,The Abyss,,1989,PG-13/TV-14,7.6,89.0,1980-1989,7.51-8.00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
53,The Night Of,TV,2016,R/TV-MA,8.5,94.0,2010-2019,8.01-8.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
54,The Hate U Give,,2018,PG-13/TV-14,7.4,97.0,2010-2019,7.01-7.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
55,Moulin Rouge!,,2001,PG-13/TV-14,7.6,76.0,2000-2009,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
56,Six Feet Under,TV,2001,R/TV-MA,8.7,81.0,2000-2009,8.51-9.00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
57,Alita: Battle Angel,,2019,PG-13/TV-14,7.3,61.0,2010-2019,7.01-7.50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
58,The Diving Bell and the Butterfly,,2007,PG-13/TV-14,8.0,94.0,2000-2009,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
59,Gangs of New York,,2002,R/TV-MA,7.5,73.0,2000-2009,7.01-7.50,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
60,Ready or Not,,2019,R/TV-MA,6.8,88.0,2010-2019,6.01-7.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
61,Fast Five,,2011,PG-13/TV-14,7.3,77.0,2010-2019,7.01-7.50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
62,Deadwood,TV,2004,R/TV-MA,8.6,92.0,2000-2009,8.51-9.00,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
63,A Fish Called Wanda,,1988,R/TV-MA,7.5,94.0,1980-1989,7.01-7.50,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
64,Glengarry Glen Ross,,1992,R/TV-MA,7.7,95.0,1990-1999,7.51-8.00,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
65,Blood Simple,,1984,R/TV-MA,7.6,94.0,1980-1989,7.51-8.00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
66,The Leftovers,TV,2014,R/TV-MA,8.3,91.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
67,Unbreakable,,2000,PG-13/TV-14,7.3,70.0,2000-2009,7.01-7.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
68,Doctor Sleep,,2019,R/TV-MA,7.4,77.0,2010-2019,7.01-7.50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
69,Bowling for Columbine,,2002,R/TV-MA,7.9,95.0,2000-2009,7.51-8.00,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
70,Barry,TV,2018,R/TV-MA,8.3,99.0,2010-2019,8.01-8.50,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
71,Crazy Rich Asians,,2018,PG-13/TV-14,6.9,91.0,2010-2019,6.01-7.00,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
72,Watchmen,TV,2019,R/TV-MA,8.1,95.0,2010-2019,8.01-8.50,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
73,Sherlock Holmes: A Game of Shadows,,2011,PG-13/TV-14,7.5,60.0,2010-2019,7.01-7.50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
74,The Conjuring 2,,2016,R/TV-MA,7.3,81.0,2010-2019,7.01-7.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
75,Les Misérables,,2012,PG-13/TV-14,7.6,69.0,2010-2019,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
76,Raising Arizona,,1987,PG-13/TV-14,7.3,91.0,1980-1989,7.01-7.50,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
77,Us,,2019,R/TV-MA,6.9,93.0,2010-2019,6.01-7.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
78,Die Hard: With a Vengeance,,1995,R/TV-MA,7.6,57.0,1990-1999,7.51-8.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
79,Bridesmaids,,2011,R/TV-MA,6.8,90.0,2010-2019,6.01-7.00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
80,Succession,TV,2018,R/TV-MA,8.5,92.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
81,School of Rock,,2003,PG-13/TV-14,7.1,91.0,2000-2009,7.01-7.50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
82,Euphoria,TV,2019,R/TV-MA,8.3,82.0,2010-2019,8.01-8.50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
83,Aquaman,,2018,PG-13/TV-14,7.0,65.0,2010-2019,6.01-7.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
84,Nocturnal Animals,,2016,R/TV-MA,7.5,74.0,2010-2019,7.01-7.50,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
85,The Pacific,TV,2010,R/TV-MA,8.3,91.0,2010-2019,8.01-8.50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
86,Ray,,2004,PG-13/TV-14,7.7,80.0,2000-2009,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
87,The Manchurian Candidate,,1962,PG-13/TV-14,7.9,96.0,1960-1969,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
88,The Manchurian Candidate,,1962,PG-13/TV-14,7.9,96.0,1960-1969,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
89,The Manchurian Candidate,,2004,R/TV-MA,6.6,80.0,2000-2009,6.01-7.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
90,The Manchurian Candidate,,2004,R/TV-MA,6.6,80.0,2000-2009,6.01-7.00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
91,Temple Grandin,,2010,PG/TV-PG,8.3,100.0,2010-2019,8.01-8.50,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
92,Veep,TV,2012,R/TV-MA,8.3,93.0,2010-2019,8.01-8.50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
93,The Normal Heart,,2014,R/TV-MA,7.9,94.0,2010-2019,7.51-8.00,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
94,My Left Foot: The Story of Christy Brown,,1989,R/TV-MA,7.9,98.0,1980-1989,7.51-8.00,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
95,Fast & Furious Presents: Hobbs & Shaw,,2019,PG-13/TV-14,6.4,67.0,2010-2019,6.01-7.00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
96,Blindspotting,,2018,R/TV-MA,7.4,94.0,2010-2019,7.01-7.50,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
97,A Monster Calls,,2016,PG-13/TV-14,7.5,86.0,2010-2019,7.01-7.50,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,Going Clear: Scientology and the Prison of Belief,,2015,,8.0,95.0,2010-2019,7.51-8.00,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
99,Notting Hill,,1999,PG-13/TV-14,7.1,83.0,1990-1999,7.01-7.50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
100,Match Point,,2005,R/TV-MA,7.6,77.0,2000-2009,7.51-8.00,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
101,An American Werewolf in London,,1981,R/TV-MA,7.5,87.0,1980-1989,7.01-7.50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
